Model,R² Score,RMSE ($),MAE ($),MAPE (%)
Linear Regression,-1.0659,"14,456.37","11,020.10",50830.35
Random Forest,0.4442,"7,498.17","4,380.46",9884.79
Gradient Boosting,-0.4621,"12,161.70","8,584.80",35029.44
XGBoost,-0.3499,"11,685.77","8,141.26",31962.48
Random Forest (Tuned),0.5316,"6,883.49","3,437.39",8602.16
XGBoost (Tuned),0.1410,"9,322.02","5,020.09",14014.23
Gradient Boosting (Tuned),-0.1325,"10,703.37","7,182.96",21366.93
Stacking Ensemble (Ridge Meta),0.4864,"7,208.38","4,079.09",11111.51
