iter	RMSE
156	4432.343034
157	4431.836964
158	4420.842096
159	4411.86819
160	4411.379598
161	4406.030587
162	4398.115443
163	4397.654981
164	4397.220401
165	4396.834092
166	4388.057589
167	4387.693968
168	4384.250621
169	4383.914653
170	4383.597722
171	4383.271325
172	4382.746936
173	4382.469839
174	4382.1831
175	4373.6063
176	4359.844278
177	4353.610635
178	4341.243684
179	4337.646257
180	4326.812203
181	4319.340627
182	4319.103581
183	4318.878637
184	4318.43396
185	4318.226886
186	4310.729196
187	4306.610521
188	4306.418656
189	4299.653318
190	4295.28639
191	4295.106929
192	4294.938189
193	4294.778717
194	4294.599598
195	4284.583277
196	4279.499717
197	4279.335289
198	4276.870852
199	4273.552939
200	4273.425929
201	4269.802457
202	4266.07687
203	4265.964467
204	4257.025664
205	4256.893024
206	4254.305262
207	4252.156009
208	4250.056569
209	4249.945212
210	4249.860865
211	4243.337749
212	4243.240572
213	4243.167319
214	4240.035038
215	4238.257417
216	4231.428689
217	4231.344712
218	4224.320493
219	4221.325935
220	4221.265807
221	4217.128277
222	4217.057349
223	4217.004568
224	4216.954936
225	4216.907895
226	4211.169457
227	4211.113821
228	4211.073948
229	4211.036671
230	4211.001248
231	4206.614137
232	4200.880786
233	4199.943154
234	4199.911915
235	4193.64148
236	4188.941444
237	4186.471178
238	4186.434801
239	4181.062313
240	4181.034855
241	4178.541786
242	4174.260319
243	4172.729437
244	4169.747461
245	4166.571607
246	4161.63533
247	4161.610559
248	4157.61071
249	4151.442118
250	4151.41992
251	4149.173141
252	4148.947455
253	4148.926937
254	4143.565753
255	4138.988107
256	4137.744664
257	4136.25861
258	4133.731357
259	4132.184893
260	4128.100157
261	4128.085968
262	4128.072536
263	4128.05986
264	4128.048131
265	4128.037347
266	4126.655482
267	4123.993005
268	4121.693001
269	4116.607107
270	4110.831625
271	4108.892432
272	4107.928672
273	4107.919926
274	4107.911751
275	4105.960338
276	4105.764043
277	4101.529991
278	4099.170707
279	4099.164419
280	4097.010028
281	4095.342147
282	4095.336807
283	4088.447014
284	4088.242618
285	4086.740475
286	4086.578038
287	4086.573451
288	4086.569247
289	4085.143723
290	4082.864299
291	4082.70362
292	4082.700368
293	4080.727904
294	4080.036005
295	4079.905842
296	4079.903354
297	4075.125799
298	4075.123499
299	4075.121199
300	4075.000462
301	4073.007204
302	4072.895416
303	4062.803078
304	4062.688895
305	4062.581245
306	4062.580284
307	4062.426877
308	4062.425724
309	4057.040899
310	4057.039936
311	4056.943109
312	4056.837424
313	4056.836846
314	4056.637981
315	4053.077165
316	4053.076587
317	4050.647051
318	4048.571202
319	4048.570431
320	4048.570045
321	4048.569659
322	4048.569273
323	4048.568694
324	4045.361029
325	4043.111136
326	4043.111136
327	4043.110364
328	4043.02344
329	4043.023247
330	4043.022668
331	4041.451543
332	4041.45135
333	4031.937558
334	4025.572127
335	4023.456167
336	4023.455002
337	4023.455002
338	4021.581456
339	4021.58029
340	4020.430491
341	4020.429714
342	4018.955663
343	4018.954497
344	4018.88765
345	4018.886678
346	4018.885512
347	4018.884735
348	4013.636854
349	4013.636076
350	4010.735598
351	4010.73443
352	4010.733651
353	4010.732872
354	4010.732093
355	4010.730925
356	4010.730341
357	4010.729562
358	4010.728783
359	4010.728004
360	4005.917662
361	4004.289462
362	3999.034731
363	3997.844652
364	3996.663012
365	3996.66223
366	3996.661644
367	3996.660862
368	3992.526474
369	3992.526082
370	3988.042177
371	3988.041198
372	3988.040611
373	3985.740727
374	3985.739943
375	3985.706633
376	3985.706045
377	3985.705261
378	3985.704869
379	3977.541749
380	3977.461836
381	3973.428742
382	3973.367811
383	3973.168896
384	3973.16811
385	3969.566259
386	3969.565472
387	3969.498186
388	3969.497399
389	3969.496809
390	3969.496416
391	3969.495629
392	3969.455886
393	3969.455296
394	3962.612107
395	3961.535679
396	3958.95173
397	3958.951138
398	3958.950941
399	3953.161846
400	3948.102751
401	3948.102158
402	3948.101762
403	3948.101367
404	3948.100773
405	3945.477147
406	3940.138234
407	3936.593652
408	3928.390704
409	3926.653587
410	3923.856598
411	3923.8562
412	3923.855802
413	3923.855005
414	3921.919741
415	3919.955032
416	3919.954434
417	3919.953637
418	3919.95304
419	3919.952641
420	3918.333764
421	3917.329301
422	3916.659782
423	3913.616595
424	3913.32883
425	3913.208688
426	3913.20789
427	3913.206693
428	3913.205894
429	3911.895276
430	3908.618008
431	3908.617009
432	3908.61641
433	3903.151046
434	3903.149846
435	3903.149045
436	3903.148245
437	3903.146845
438	3903.145644
439	3903.144844
440	3901.829645
441	3901.829245
442	3901.828444
443	3901.827644
444	3901.827043
445	3901.826443
446	3901.163672
447	3900.941055
448	3899.139433
449	3899.106985
450	3899.106184
451	3899.105783
452	3899.105183
453	3899.104381
454	3899.103981
455	3899.10318
456	3897.235581
457	3897.128571
458	3897.127969
459	3897.127368
460	3897.126767
461	3897.126166
462	3896.467606
463	3894.286912
464	3893.5679
465	3893.567499
466	3891.097978
467	3888.613834
468	3883.904605
469	3883.9036
470	3883.002259
471	3880.896506
472	3877.69656
473	3877.694545
474	3877.693136
475	3874.672756
476	3874.671144
477	3873.923493
478	3872.848831
479	3872.687707
480	3872.167991
481	3870.465367
482	3869.142895
483	3869.140473
484	3866.660603
485	3866.625257
486	3866.504068
487	3866.501241
488	3866.498817
489	3864.339811
490	3864.337386
491	3863.448057
492	3862.459043
493	3862.456617
494	3861.560787
495	3861.558562
496	3860.777423
497	3860.687608
498	3859.478949
499	3859.476116
500	3859.473688
501	3857.605731
502	3857.603302
503	3857.601277
504	3857.599253
505	3857.597633
506	3857.596013
507	3857.594191
508	3857.592369
509	3857.590952
510	3857.589332
511	3854.926187
512	3854.38503
513	3854.383409
514	3854.286759
515	3854.285138
516	3851.346169
517	3851.315549
518	3848.1251
519	3848.123476
520	3845.778096
521	3845.031326
522	3844.95658
523	3839.962375
524	3838.642822
525	3838.641602
526	3838.640177
527	3838.638957
528	3835.458935
529	3835.45751
530	3835.456288
531	3835.340224
532	3834.766773
533	3833.647522
534	3833.645892
535	3831.198493
536	3831.197066
537	3831.048256
538	3828.068394
539	3828.066762
540	3825.98507
541	3825.426345
542	3825.016384
543	3825.014547
544	3823.988635
545	3823.964332
546	3823.015357
547	3823.01311
548	3823.010659
549	3822.190992
550	3822.185067
551	3822.081677
552	3822.07616
553	3820.235914
554	3820.233461
555	3820.211791
556	3820.208929
557	3820.20668
558	3820.185215
559	3820.182557
560	3820.180513
561	3820.152097
562	3820.149848
563	3820.148008
564	3820.146168
565	3818.996457
566	3818.994821
567	3818.992981
568	3818.99114
569	3818.989504
570	3818.988073
571	3818.959443
572	3818.044407
573	3818.042771
574	3818.042771
575	3817.943564
576	3817.942132
577	3817.942132
578	3817.9407
579	3817.939064
580	3817.937836
581	3817.936609
582	3817.935382
583	3817.897335
584	3817.896107
585	3817.89488
586	3817.893857
587	3817.868901
588	3817.868288
589	3817.867265
590	3815.655772
591	3815.632235
592	3815.610334
593	3811.478514
594	3811.477694
595	3811.456999
596	3810.956188
597	3810.954959
598	3808.913534
599	3808.912714
600	3807.961219
601	3807.941736
602	3807.940915
603	3807.940095
604	3807.939685
605	3807.918765
606	3807.91815
607	3807.917535
608	3807.91692
609	3807.916304
610	3807.915689
611	3807.099952
612	3807.099542
613	3803.695437
614	3803.67778
615	3803.660943
616	3803.660738
617	3803.660122
618	3802.612019
619	3802.611608
620	3802.578748
621	3801.769261
622	3801.76885
623	3799.735439
624	3799.735028
625	3799.734822
626	3799.734411
627	3799.731534
628	3799.728451
629	3799.72804
630	3799.727423
631	3798.372304
632	3798.370659
633	3798.368192
634	3795.981783
635	3795.981372
636	3795.98096
637	3795.980755
638	3794.653111
639	3794.652699
640	3794.652288
641	3794.652082
642	3793.822995
643	3792.241093
644	3792.240682
645	3790.640607
646	3790.640195
647	3790.639989
648	3790.612588
649	3790.612382
650	3790.612176
651	3787.987503
652	3787.455752
653	3786.456377
654	3786.455759
655	3786.21134
656	3785.629828
657	3785.61353
658	3785.600327
659	3785.599914
660	3785.597232
661	3785.597026
662	3785.596613
663	3785.596407
664	3785.596201
665	3785.595994
666	3785.594138
667	3785.582172
668	3784.796082
669	3784.795875
670	3784.795875
671	3784.795463
672	3784.783701
673	3784.444455
674	3784.444042
675	3781.891495
676	3781.891082
677	3781.890876
678	3781.890463
679	3781.890463
680	3781.890256
681	3780.644012
682	3779.926523
683	3778.967317
684	3778.96711
685	3778.96711
686	3778.832157
687	3778.832157
688	3778.745975
689	3778.690585
690	3778.690172
691	3778.016342
692	3778.006006
693	3778.005593
694	3776.252654
695	3776.242727
696	3776.24252
697	3776.24252
698	3776.230319
699	3776.230112
700	3776.228871
701	3775.315683
702	3775.315476
703	3775.315269
704	3775.315063
705	3775.264588
706	3775.264588
707	3774.95738
708	3774.957173
709	3774.929037
710	3774.92883
711	3773.548663
712	3773.548456
713	3773.548249
714	3773.548042
715	3773.539143
716	3773.067245
717	3772.801466
718	3772.801259
719	3772.685958
720	3772.685958
721	3771.544971
722	3771.544764
723	3771.543522
724	3771.423005
725	3771.402298
726	3771.402298
727	3771.401884
728	3769.704089
729	3765.467143
730	3764.72747
731	3764.726432
732	3764.72415
733	3762.355426
734	3762.040106
735	3761.459217
736	3760.105054
737	3759.238432
738	3759.129779
739	3757.825485
740	3757.228771
741	3756.330092
742	3755.143165
743	3754.110225
744	3753.957735
745	3753.276552
746	3752.701382
747	3752.662674
748	3752.077836
749	3751.687338
750	3751.653823
751	3751.007616
752	3750.876029
753	3750.489363
754	3750.134727
755	3750.010815
756	3749.99707
757	3749.94084
758	3749.528041
759	3749.179147
760	3749.041039
761	3746.692415
762	3745.689462
763	3744.704593
764	3743.987517
765	3743.899072
766	3742.985091
767	3742.662297
768	3741.763667
769	3740.638302
770	3740.554163
771	3739.628922
772	3738.420607
773	3738.33976
774	3738.036204
775	3737.95305
776	3736.761331
777	3736.161253
778	3735.807766
779	3735.068909
780	3734.746267
781	3733.423623
782	3733.350827
783	3732.019946
784	3731.724456
785	3731.672345
786	3731.613955
787	3730.889967
788	3729.638198
789	3729.039696
790	3728.91655
791	3728.776015
792	3728.452619
793	3727.740797
794	3727.690307
795	3727.644844
796	3727.644634
797	3726.961994
798	3724.755027
799	3724.287223
800	3722.769547
801	3722.292471
802	3722.244844
803	3720.277967
804	3720.193997
805	3720.148652
806	3719.112082
807	3718.750464
808	3718.749624
809	3718.705522
810	3718.404563
811	3717.578849
812	3717.371499
813	3717.123378
814	3717.092703
815	3716.149222
816	3715.746961
817	3715.468884
818	3715.461107
819	3715.460056
820	3715.419068
821	3715.412131
822	3715.373875
823	3714.491771
824	3714.49051
825	3714.45708
826	3713.859075
827	3713.775171
828	3713.708087
829	3713.707036
830	3713.670865
831	3713.225851
832	3712.325145
833	3711.840205
834	3711.732268
835	3711.598237
836	3711.538268
837	3711.52901
838	3711.47893
839	3711.443158
840	3711.415593
841	3711.415593
842	3711.396655
843	3710.763221
844	3710.755855
845	3710.254712
846	3709.886547
847	3709.857285
848	3708.942285
849	3708.896171
850	3707.579051
851	3707.57231
852	3705.437047
853	3705.436836
854	3705.012123
855	3705.005378
856	3703.669583
857	3703.198271
858	3702.760224
859	3702.739133
860	3701.359688
861	3700.730445
862	3699.38234
863	3698.299617
864	3697.120464
865	3695.967349
866	3695.944317
867	3695.478571
868	3695.471597
869	3692.397763
870	3692.359903
871	3692.349115
872	3692.328176
873	3692.132099
874	3692.121311
875	3691.598388
876	3690.686478
877	3690.680977
878	3689.81604
879	3689.151592
880	3689.133175
881	3689.127459
882	3688.90856
883	3688.231244
884	3687.701415
885	3686.999942
886	3686.998035
887	3686.465487
888	3684.905318
889	3684.904046
890	3684.813548
891	3684.808885
892	3684.543098
893	3683.621386
894	3683.495873
895	3683.491632
896	3681.817359
897	3681.364464
898	3680.21108
899	3680.151662
900	3680.12853
901	3679.81614
902	3678.653991
903	3678.631275
904	3678.472684
905	3677.853327
906	3677.011285
907	3676.976665
908	3676.459022
909	3675.357646
910	3675.132189
911	3675.065676
912	3673.859509
913	3673.816144
914	3673.678391
915	3673.677966
916	3673.63481
917	3673.63396
918	3673.352908
919	3673.292953
920	3672.959781
921	3672.758417
922	3672.638487
923	3671.896278
924	3671.496188
925	3671.393234
926	3670.3946
927	3670.301616
928	3670.292253
929	3670.208204
930	3669.740256
931	3669.739617
932	3669.739192
933	3669.733872
934	3669.660876
935	3669.423575
936	3669.423575
937	3668.016059
938	3668.01542
939	3667.98689
940	3667.617463
941	3667.087637
942	3667.000532
943	3666.93025
944	3665.946591
945	3665.377533
946	3665.37178
947	3663.71907
948	3663.195716
949	3663.195076
950	3662.688492
951	3662.68508
952	3662.431122
953	3662.428137
954	3662.405107
955	3662.317891
956	3662.242188
957	3662.238989
958	3661.200956
959	3661.197756
960	3660.349322
961	3659.748238
962	3659.43048
963	3659.220902
964	3658.050075
965	3658.011646
966	3657.551533
967	3657.551105
968	3657.531034
969	3657.53018
970	3657.15628
971	3656.42887
972	3656.350055
973	3656.277005
974	3656.276151
975	3656.230227
976	3656.226596
977	3656.223819
978	3653.472035
979	3653.438475
980	3653.15031
981	3652.85742
982	3652.454389
983	3651.769456
984	3651.748284
985	3651.744862
986	3651.733527
987	3651.73032
988	3651.727325
989	3651.457206
990	3651.446084
991	3651.418066
992	3651.415713
993	3650.348073
994	3650.086409
995	3650.075711
996	3648.840309
997	3648.800927
998	3648.761972
999	3648.661801
